"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"860Z200US75189","ZCTA5 75189","15743","538","2.1","0.8","1.4","0.8","3.4","1.3","2.9","1.1","5.4","1.6","11.3","2.4","13.0","2.5","32.2","3.6","13.4","2.3","14.9","2.6","117125","5021","130113","7079","38.7","(X)","(X)","(X)","(X)","(X)","12668","633","1.3","1.0","1.3","0.8","1.3","0.8","1.9","0.9","3.3","1.3","11.2","2.7","13.3","2.7","34.9","4.3","14.4","2.7","16.9","3.0","122792","5447","140581","8252","(X)","(X)","38.4","(X)","(X)","(X)","10310","645","1.1","0.8","0.9","0.8","1.0","0.8","1.1","0.7","2.2","1.2","7.3","2.4","10.4","2.9","38.7","4.6","16.8","3.4","20.4","3.6","134056","6144","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3075","473","7.2","3.1","2.0","2.2","11.8","5.1","7.2","3.8","13.5","5.9","11.1","4.3","14.0","5.4","21.0","8.5","5.7","3.3","6.6","4.9","66616","19351","80950","10023","(X)","(X)","(X)","(X)","37.8","(X)",
"860Z200US75201","ZCTA5 75201","12525","985","6.4","2.4","2.6","1.9","2.7","2.1","5.1","3.3","2.9","1.3","12.4","3.4","14.6","3.4","23.2","4.2","10.9","3.1","19.3","3.7","103761","5386","151134","12386","25.1","(X)","(X)","(X)","(X)","(X)","2117","435","5.3","3.9","2.4","3.1","0.8","1.2","1.4","2.4","3.9","3.0","2.9","2.7","4.5","5.5","20.4","7.8","17.4","7.0","41.0","9.3","174408","17823","260625","44729","(X)","(X)","33.0","(X)","(X)","(X)","1573","346","1.3","2.0","0.4","0.9","0.0","3.1","1.9","3.2","2.6","3.2","2.6","2.9","0.8","1.3","15.4","8.6","20.3","8.4","54.7","11.2","218059","73421","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10408","1000","6.6","2.9","2.6","2.3","3.3","2.5","5.9","4.0","2.9","1.7","14.5","4.0","16.7","3.9","24.2","5.1","9.4","3.3","13.9","3.7","93863","8742","127467","12546","(X)","(X)","(X)","(X)","23.3","(X)",
"860Z200US75202","ZCTA5 75202","1959","237","1.8","2.3","0.0","2.5","2.9","2.7","5.1","7.7","7.6","5.4","10.8","6.1","9.2","4.2","19.2","7.7","17.0","6.7","26.3","7.2","133155","17825","177357","34828","21.3","(X)","(X)","(X)","(X)","(X)","483","143","0.0","9.8","0.0","9.8","5.0","7.6","0.0","9.8","6.8","7.8","2.7","4.6","13.7","10.7","8.7","7.9","29.4","15.6","33.7","15.0","178973","30100","259829","117523","(X)","(X)","23.4","(X)","(X)","(X)","438","136","0.0","10.8","0.0","10.8","5.5","8.3","0.0","10.8","7.5","8.7","3.0","5.1","7.3","8.7","9.6","8.7","29.9","16.7","37.2","16.4","184333","24273","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1476","254","2.4","3.0","0.0","3.3","2.2","2.7","6.7","10.1","7.9","7.2","13.5","7.9","8.5","4.7","22.7","9.6","12.2","6.1","23.8","8.5","119500","29943","149731","27379","(X)","(X)","(X)","(X)","19.9","(X)",
"860Z200US75203","ZCTA5 75203","6359","751","11.9","5.8","12.2","7.7","5.2","4.3","6.1","2.8","17.5","6.4","17.4","4.8","10.9","4.7","11.9","4.2","4.6","2.4","2.4","1.3","46989","8609","64808","7219","56.7","(X)","(X)","(X)","(X)","(X)","3065","459","10.5","7.6","7.0","4.3","3.9","3.6","6.9","4.7","14.2","7.8","22.8","7.7","14.9","7.6","10.0","4.2","6.8","4.1","2.9","2.2","62658","17861","76093","13497","(X)","(X)","63.6","(X)","(X)","(X)","1614","381","7.1","7.0","0.8","1.6","1.6","2.7","11.2","8.4","16.9","11.2","24.7","10.4","14.8","10.8","15.7","8.1","3.7","3.8","3.4","2.2","64063","21045","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3294","763","13.2","7.5","17.1","14.3","6.3","7.9","5.4","3.5","20.5","9.5","15.2","5.9","6.4","5.0","13.1","6.4","1.6","1.6","1.2","1.8","40823","4579","51482","10340","(X)","(X)","(X)","(X)","50.2","(X)",
"860Z200US75204","ZCTA5 75204","21536","817","4.5","1.3","2.2","0.9","4.2","1.3","4.2","1.4","6.3","1.6","16.5","3.1","16.0","2.4","16.1","2.4","12.5","1.9","17.6","2.3","92253","6713","131754","8243","25.7","(X)","(X)","(X)","(X)","(X)","5356","601","4.0","2.7","0.8","0.9","7.4","3.2","4.5","3.4","5.5","3.1","9.8","4.5","8.5","3.5","12.3","3.8","14.7","3.9","32.4","5.1","137234","13723","175979","21200","(X)","(X)","25.3","(X)","(X)","(X)","3883","555","1.4","1.3","0.3","0.8","3.5","2.9","2.4","1.7","4.0","2.8","5.5","4.1","8.3","3.5","11.7","4.3","19.3","5.1","43.7","6.3","190394","26483","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16180","913","5.0","1.5","2.6","1.2","3.1","1.4","4.0","1.4","6.8","1.9","18.6","3.6","18.2","3.0","17.4","2.9","11.5","2.1","12.7","2.3","85048","6539","116578","7837","(X)","(X)","(X)","(X)","25.8","(X)",
"860Z200US75205","ZCTA5 75205","9655","559","5.6","1.8","1.6","0.9","2.7","1.3","3.9","1.3","3.7","1.2","7.0","1.9","6.7","1.9","13.4","2.5","8.7","2.7","46.6","3.9","181631","13359","330849","31312","39.1","(X)","(X)","(X)","(X)","(X)","5833","490","3.1","1.7","0.4","0.4","1.4","1.6","0.6","0.6","3.1","1.4","4.0","2.1","4.4","1.7","10.5","3.2","9.4","3.1","63.2","5.2","250,000+","***","435929","45651","(X)","(X)","42.1","(X)","(X)","(X)","5149","452","2.9","1.9","0.3","0.4","0.1","0.2","0.7","0.6","2.8","1.5","3.2","2.3","3.7","1.5","10.0","3.2","8.9","3.2","67.3","5.0","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3822","339","9.4","3.5","3.6","2.2","5.1","2.4","9.0","3.2","4.8","2.1","11.5","3.8","10.2","3.8","18.4","5.1","7.9","3.8","20.3","4.9","90953","14847","166418","37956","(X)","(X)","(X)","(X)","34.1","(X)",
"860Z200US75206","ZCTA5 75206","22547","826","5.1","1.4","3.4","1.2","2.9","0.8","5.8","1.7","6.0","1.3","16.5","2.0","15.6","2.2","14.9","2.2","10.9","2.0","19.0","2.1","91023","3623","135274","7883","28.6","(X)","(X)","(X)","(X)","(X)","7193","710","1.7","1.1","0.8","1.0","0.7","0.6","0.6","0.4","3.5","1.6","8.2","2.3","12.7","3.5","19.5","5.5","12.5","4.4","39.7","4.9","156461","12965","218943","20535","(X)","(X)","28.7","(X)","(X)","(X)","5890","614","0.5","0.6","0.0","0.8","0.2","0.3","0.4","0.4","2.1","1.5","7.7","2.1","10.0","3.2","19.7","6.4","13.3","5.1","46.2","6.1","173032","25295","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15354","830","6.8","2.1","4.6","1.6","4.1","1.1","8.3","2.5","7.3","1.8","20.1","2.9","17.0","2.9","12.6","2.2","10.0","2.2","9.2","2.0","74199","2087","95451","6155","(X)","(X)","(X)","(X)","28.2","(X)",
"860Z200US75207","ZCTA5 75207","2353","273","9.2","8.2","1.5","2.1","0.6","0.9","5.3","3.7","5.1","3.3","14.8","6.2","22.1","9.9","30.9","10.5","5.5","3.8","5.1","4.0","84212","15620","90673","11271","33.0","(X)","(X)","(X)","(X)","(X)","253","152","0.0","17.8","0.0","17.8","0.0","17.8","0.0","17.8","9.5","16.0","7.5","10.7","0.0","17.8","64.0","29.9","10.3","13.0","8.7","14.7","112427","35826","123108","21039","(X)","(X)","60.5","(X)","(X)","(X)","145","68","0.0","28.4","0.0","28.4","0.0","28.4","0.0","28.4","16.6","23.1","13.1","17.6","0.0","28.4","37.2","30.7","17.9","19.9","15.2","23.1","133798","44832","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2100","286","10.3","9.2","1.7","2.4","0.6","1.0","5.9","4.2","4.6","3.3","15.7","6.9","24.7","10.5","26.9","11.2","5.0","4.0","4.7","4.1","77286","12681","86765","11995","(X)","(X)","(X)","(X)","29.7","(X)",
"860Z200US75208","ZCTA5 75208","12796","626","3.1","1.0","2.3","0.9","5.2","2.2","4.5","1.3","8.7","2.1","22.2","3.5","10.2","2.1","16.7","3.1","9.1","2.0","17.9","2.6","81950","7123","128265","9214","36.0","(X)","(X)","(X)","(X)","(X)","6720","519","1.2","0.9","1.5","1.1","6.1","3.6","5.3","2.0","5.1","2.1","18.5","4.7","9.9","2.7","19.9","5.1","10.1","2.9","22.4","3.7","103835","13491","141917","11368","(X)","(X)","41.1","(X)","(X)","(X)","5004","405","0.5","0.6","1.6","1.3","4.3","2.6","3.4","2.3","3.1","1.8","14.5","4.7","8.9","3.1","22.3","6.0","12.6","3.7","28.8","4.9","122411","13705","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6076","595","5.2","1.9","3.4","1.7","4.1","2.4","4.9","2.1","11.8","3.5","26.2","5.7","11.2","3.4","13.2","5.0","7.4","2.6","12.6","4.2","69554","9008","110546","15168","(X)","(X)","(X)","(X)","29.2","(X)",
"860Z200US75209","ZCTA5 75209","6578","537","4.3","2.5","0.7","0.6","2.9","1.7","2.7","2.0","9.0","5.1","11.3","2.9","10.6","3.8","14.4","3.3","3.9","1.5","40.2","5.2","134707","12786","256107","26161","33.0","(X)","(X)","(X)","(X)","(X)","3257","364","1.0","1.1","0.0","1.5","1.2","1.2","0.2","0.4","1.6","1.3","9.5","3.3","4.8","3.2","17.6","5.7","3.2","1.7","60.8","6.1","250,000+","***","359581","39245","(X)","(X)","44.5","(X)","(X)","(X)","2751","336","0.6","0.9","0.0","1.8","0.3","0.4","0.0","1.8","0.3","0.4","5.5","3.2","4.8","3.9","16.7","6.2","1.5","1.3","70.4","6.9","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3321","474","8.0","4.9","1.4","1.2","4.5","3.1","5.1","4.0","16.2","9.5","13.5","5.1","16.3","6.3","11.3","4.4","4.1","2.6","19.6","6.9","79149","15272","153076","37879","(X)","(X)","(X)","(X)","21.8","(X)",
"860Z200US75210","ZCTA5 75210","2752","431","10.2","6.7","6.3","5.5","15.7","9.1","18.4","11.7","9.2","5.8","14.4","6.8","14.0","8.7","8.8","5.0","3.0","2.6","0.0","1.8","33712","13248","49043","7434","49.6","(X)","(X)","(X)","(X)","(X)","1725","549","5.9","5.6","0.0","2.9","4.5","5.3","26.6","15.9","12.5","7.7","18.8","10.1","19.2","12.1","7.6","6.0","4.8","4.4","0.0","2.9","50817","21407","57624","9528","(X)","(X)","48.6","(X)","(X)","(X)","799","256","0.0","6.1","0.0","6.1","2.9","3.4","5.1","8.3","11.3","11.2","27.9","18.6","27.8","18.2","14.6","12.3","10.4","9.2","0.0","6.1","75771","13953","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1027","342","17.4","14.7","16.9","13.3","39.9","17.0","4.5","7.7","7.2","7.5","6.8","7.1","0.0","4.7","7.2","5.8","0.0","4.7","0.0","4.7","21533","6290","28954","7175","(X)","(X)","(X)","(X)","47.6","(X)",
"860Z200US75211","ZCTA5 75211","22613","900","7.0","1.7","4.0","1.5","7.6","2.0","8.7","1.7","16.8","3.1","19.2","3.0","11.1","1.7","16.1","2.4","5.3","1.5","4.2","1.2","56807","3685","74979","3617","44.2","(X)","(X)","(X)","(X)","(X)","16737","872","4.7","1.8","2.6","1.3","6.3","2.1","8.6","2.1","16.1","3.9","20.3","3.4","13.1","2.0","18.8","2.6","5.2","1.4","4.2","1.3","62708","3637","79197","4022","(X)","(X)","48.6","(X)","(X)","(X)","9238","746","2.9","2.0","1.9","1.5","3.3","1.6","5.2","2.0","11.0","2.6","23.3","4.9","13.7","3.2","24.4","4.5","7.8","2.3","6.5","2.2","79229","8130","95838","6516","(X)","(X)","(X)","(X)","(X)","(X)","5876","645","15.1","4.2","7.4","3.4","13.6","4.1","12.3","4.5","18.2","4.2","15.7","5.3","3.1","1.7","6.9","2.8","4.0","3.2","3.7","2.6","36947","6310","55197","7999","(X)","(X)","(X)","(X)","28.2","(X)",
"860Z200US75212","ZCTA5 75212","9034","527","9.2","2.9","7.9","2.4","7.4","2.6","8.3","3.8","10.4","2.9","17.6","4.2","11.4","3.1","15.0","2.8","6.0","2.5","6.8","2.8","59750","6666","78931","6682","50.9","(X)","(X)","(X)","(X)","(X)","5789","512","3.9","2.1","2.2","1.3","5.3","2.7","8.6","3.5","16.1","4.8","19.9","5.1","14.4","4.0","16.5","3.8","5.4","2.6","7.7","3.6","68239","6951","89000","8822","(X)","(X)","59.0","(X)","(X)","(X)","3087","390","2.4","2.5","1.8","1.8","4.7","3.4","4.4","3.0","11.6","4.7","24.9","7.2","9.4","4.1","23.8","6.3","7.1","4.3","9.9","4.5","75662","11421","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3245","508","19.5","7.9","17.6","5.9","12.0","5.7","9.7","8.2","8.6","5.8","4.3","3.9","5.5","3.5","11.4","5.0","7.2","5.1","4.3","3.5","28835","15769","54738","9984","(X)","(X)","(X)","(X)","35.2","(X)",
"860Z200US75214","ZCTA5 75214","15318","742","3.3","1.2","1.9","0.9","4.2","1.4","3.8","1.4","8.8","2.1","12.1","2.5","7.8","1.8","12.4","2.6","10.0","2.1","35.7","3.2","132313","23060","209195","14409","31.3","(X)","(X)","(X)","(X)","(X)","8141","637","2.1","2.0","0.4","0.5","1.2","1.0","2.1","1.7","3.5","1.7","5.4","1.8","4.4","1.8","10.5","2.9","13.5","3.4","56.7","4.4","246581","36238","303267","21280","(X)","(X)","37.9","(X)","(X)","(X)","7030","643","0.1","0.2","0.5","0.6","0.8","0.7","0.4","0.4","3.5","1.9","4.8","1.9","3.8","1.9","9.6","2.8","15.4","3.7","61.2","4.8","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7177","650","6.4","2.4","3.6","1.8","7.7","2.6","5.6","2.3","15.2","3.8","18.0","4.4","11.8","3.0","14.3","4.5","5.6","2.1","11.8","2.7","65954","8377","100097","11736","(X)","(X)","(X)","(X)","23.7","(X)",
"860Z200US75215","ZCTA5 75215","7451","632","12.1","3.8","13.7","4.1","7.7","2.7","9.6","4.2","9.3","3.6","10.5","3.4","11.4","4.5","14.4","4.2","4.4","2.8","6.8","2.5","45557","10475","74880","11540","46.4","(X)","(X)","(X)","(X)","(X)","4148","662","9.8","5.6","4.5","3.9","6.2","4.2","17.3","8.0","11.9","5.6","10.0","5.1","11.5","5.1","15.3","6.3","7.8","5.1","5.6","3.5","52083","22310","83156","19358","(X)","(X)","51.4","(X)","(X)","(X)","1538","402","5.0","6.1","3.6","5.6","2.6","2.6","4.4","4.5","7.5","4.7","6.5","5.0","8.1","6.3","31.1","13.0","16.1","12.4","15.1","9.1","101703","7887","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3303","476","15.1","5.4","25.3","7.9","11.2","4.9","6.4","4.7","7.5","4.5","9.1","4.5","8.1","3.9","10.5","5.2","0.0","1.5","6.8","3.7","23913","9620","55236","10045","(X)","(X)","(X)","(X)","40.1","(X)",
"860Z200US75216","ZCTA5 75216","18957","838","12.2","2.4","7.5","1.9","15.5","2.4","9.6","2.3","13.3","2.4","18.6","2.9","10.5","2.2","7.5","1.7","3.4","1.4","1.9","0.7","41386","4528","54018","3293","50.3","(X)","(X)","(X)","(X)","(X)","12661","832","11.2","3.1","4.6","1.8","9.9","3.0","9.4","2.8","13.0","2.6","22.9","3.9","13.3","2.9","8.7","2.1","4.8","2.0","2.3","1.0","51670","3959","62308","4445","(X)","(X)","54.7","(X)","(X)","(X)","5519","587","9.0","4.2","0.2","0.3","4.5","2.4","5.7","2.9","13.2","4.7","28.2","5.6","17.5","5.2","10.5","3.3","8.1","4.0","3.2","1.9","65313","6101","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6296","715","16.6","3.9","14.2","4.0","25.5","5.5","10.5","4.1","12.7","3.7","12.7","3.6","2.5","1.5","4.4","2.2","1.1","1.1","0.0","0.8","22398","2534","32761","3486","(X)","(X)","(X)","(X)","40.3","(X)",
"860Z200US75217","ZCTA5 75217","23954","951","8.2","2.4","4.5","1.4","10.0","1.9","8.3","1.8","13.8","2.0","20.9","2.7","11.5","1.9","15.3","1.8","4.4","1.2","3.1","1.0","55723","2511","69240","3473","66.6","(X)","(X)","(X)","(X)","(X)","19576","1025","7.9","2.8","2.7","1.2","8.9","2.1","7.8","1.9","14.5","2.4","21.2","3.0","12.8","2.4","16.3","2.1","4.7","1.4","3.2","1.1","57733","4065","72051","3953","(X)","(X)","67.4","(X)","(X)","(X)","11640","1013","2.1","1.5","1.6","0.8","6.0","2.8","7.2","2.5","11.5","2.9","23.7","4.0","16.4","3.4","21.1","3.2","6.3","2.0","4.1","1.4","73249","3537","85315","4386","(X)","(X)","(X)","(X)","(X)","(X)","4378","619","12.6","4.5","13.7","5.1","16.6","5.0","11.0","4.5","12.9","4.6","17.4","5.5","4.0","2.0","7.9","3.4","3.1","2.6","1.0","1.3","32344","6461","46619","6409","(X)","(X)","(X)","(X)","59.2","(X)",
"860Z200US75218","ZCTA5 75218","9906","520","2.6","1.3","3.6","1.7","2.6","1.7","6.2","2.1","8.2","2.4","12.2","3.0","11.1","2.9","17.0","3.5","7.4","2.1","29.0","4.2","107366","12024","159638","13667","29.5","(X)","(X)","(X)","(X)","(X)","6078","570","2.4","1.0","1.6","1.4","1.1","1.0","2.5","1.9","4.6","1.9","8.8","3.8","12.7","3.9","18.2","4.8","8.8","2.9","39.3","5.6","141588","26660","199527","21182","(X)","(X)","32.1","(X)","(X)","(X)","4886","518","0.2","0.3","0.0","1.0","0.5","0.6","2.9","2.4","1.6","1.0","8.7","4.1","10.4","3.8","18.1","5.7","10.6","3.4","47.1","7.0","179412","35297","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3828","411","5.0","2.7","6.9","3.9","5.1","3.9","10.2","4.3","13.6","4.7","17.6","4.5","9.2","3.6","14.6","4.5","5.2","2.3","12.6","5.4","62325","10874","95621","12855","(X)","(X)","(X)","(X)","25.0","(X)",
"860Z200US75219","ZCTA5 75219","16228","947","4.9","1.7","1.1","0.5","2.4","1.0","4.0","1.4","7.9","1.9","16.9","3.2","11.4","2.2","22.2","3.6","10.7","2.6","18.5","3.4","102364","8650","141250","11014","26.8","(X)","(X)","(X)","(X)","(X)","3839","439","2.4","2.0","0.2","0.4","1.7","2.0","4.7","2.6","7.3","3.8","10.8","3.8","6.2","3.1","19.8","5.5","18.3","6.0","28.5","4.5","130869","32054","197916","18989","(X)","(X)","25.8","(X)","(X)","(X)","2772","368","1.2","1.2","0.0","1.8","0.3","0.4","1.4","1.4","4.7","2.6","9.3","4.0","7.4","4.1","19.9","6.7","19.5","6.2","36.4","5.6","165948","20531","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12389","993","6.1","2.2","1.3","0.7","2.6","1.3","4.1","1.5","7.6","2.6","18.4","4.1","13.0","2.7","23.0","4.4","8.5","2.6","15.4","4.1","91049","10039","123264","12635","(X)","(X)","(X)","(X)","26.3","(X)",
"860Z200US75220","ZCTA5 75220","13661","770","3.6","1.3","1.8","0.9","7.7","2.1","8.1","2.5","16.6","3.6","17.8","3.7","15.4","2.9","10.6","2.7","5.1","1.3","13.2","2.0","69843","6498","123236","9434","45.5","(X)","(X)","(X)","(X)","(X)","8795","650","2.8","1.8","1.6","0.8","6.6","2.3","9.1","2.8","17.7","4.3","18.6","4.2","12.8","3.2","11.3","3.3","4.8","1.5","14.6","2.1","67333","8799","134211","12438","(X)","(X)","48.2","(X)","(X)","(X)","5103","544","0.5","0.7","1.0","1.1","2.0","1.6","8.3","3.6","12.4","4.3","19.7","5.8","10.9","3.6","14.5","4.5","6.8","2.3","23.9","3.8","90563","11538","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4866","701","7.5","3.6","2.3","1.7","12.8","4.4","7.3","3.9","18.0","7.9","17.1","5.3","14.3","5.1","6.8","2.9","4.0","2.0","9.9","4.0","51989","10336","91994","11952","(X)","(X)","(X)","(X)","35.6","(X)",
"860Z200US75223","ZCTA5 75223","4417","426","6.5","3.2","6.6","3.1","3.2","2.0","9.6","4.6","9.0","3.2","17.2","4.5","9.4","3.4","17.5","4.5","10.5","4.5","10.6","3.3","73318","8423","100685","9960","43.9","(X)","(X)","(X)","(X)","(X)","2822","333","0.5","0.7","1.7","1.3","3.5","3.1","8.6","4.1","10.3","4.2","23.8","6.3","9.7","4.7","17.4","4.8","13.2","5.5","11.3","3.8","79000","14386","114565","12336","(X)","(X)","48.1","(X)","(X)","(X)","1860","306","0.7","1.1","1.0","1.5","1.3","1.6","9.9","5.5","7.8","4.4","22.8","8.8","8.2","4.4","15.8","5.8","17.2","7.9","15.2","5.4","92700","25242","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1595","368","17.2","8.6","15.2","8.2","2.8","2.5","11.4","12.0","7.6","5.0","9.3","5.7","7.8","4.4","16.9","9.7","2.3","2.2","9.3","7.0","41927","21806","71835","18684","(X)","(X)","(X)","(X)","36.0","(X)",
"860Z200US75224","ZCTA5 75224","11737","832","5.6","2.1","8.7","2.8","7.5","2.3","8.2","2.5","18.4","3.6","18.5","4.3","9.1","2.7","14.8","3.2","5.1","1.8","4.0","1.3","51919","4956","71530","5401","42.8","(X)","(X)","(X)","(X)","(X)","7921","707","2.9","1.9","5.2","2.5","5.1","2.3","9.4","3.8","18.3","4.6","20.2","4.7","11.3","3.4","16.7","4.0","5.9","2.3","5.1","1.9","60512","8324","79533","6591","(X)","(X)","49.1","(X)","(X)","(X)","4475","556","1.0","1.3","1.9","2.0","6.3","3.8","4.2","2.7","15.8","4.3","16.5","5.8","13.4","4.0","23.8","5.7","9.1","3.9","8.0","3.0","86495","14284","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3816","614","11.4","6.3","16.2","7.2","12.7","6.0","11.4","5.6","18.1","7.2","18.2","8.0","3.5","1.7","3.4","2.4","3.4","2.7","1.7","1.3","31613","8661","48175","9264","(X)","(X)","(X)","(X)","29.0","(X)",
"860Z200US75225","ZCTA5 75225","8854","408","4.0","2.2","0.4","0.3","2.7","1.8","2.1","1.4","5.0","1.6","6.4","1.7","6.9","1.4","10.4","2.5","11.9","2.7","50.1","4.1","200234","15929","356169","33961","42.1","(X)","(X)","(X)","(X)","(X)","6213","387","2.8","2.6","0.1","0.2","0.2","0.3","0.5","0.5","2.1","1.1","2.7","1.0","3.6","1.7","10.4","3.5","12.0","3.8","65.6","5.0","250,000+","***","458064","44068","(X)","(X)","42.1","(X)","(X)","(X)","5663","376","1.1","0.7","0.1","0.2","0.0","0.9","0.1","0.2","2.2","1.2","2.4","1.0","3.6","1.9","9.9","3.4","12.5","4.1","68.1","4.8","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2641","341","6.8","3.5","1.2","1.1","8.4","5.6","6.8","4.6","12.2","4.4","15.2","5.6","13.6","2.9","10.5","3.2","11.6","4.9","13.7","4.7","74141","8537","114431","16373","(X)","(X)","(X)","(X)","41.0","(X)",
"860Z200US75226","ZCTA5 75226","3240","551","7.6","4.2","3.9","3.6","4.2","3.3","4.7","3.1","11.3","10.7","30.9","8.3","14.7","6.2","14.6","7.0","3.5","2.4","4.8","2.8","70546","3635","75617","8570","32.7","(X)","(X)","(X)","(X)","(X)","749","236","0.0","6.5","0.0","6.5","0.0","6.5","4.8","7.3","4.0","6.5","33.6","15.7","19.8","14.8","24.3","13.1","5.3","6.2","8.1","6.7","78151","9839","98119","15824","(X)","(X)","33.2","(X)","(X)","(X)","552","210","0.0","8.7","0.0","8.7","0.0","8.7","0.0","8.7","5.4","8.8","31.2","18.1","21.2","18.5","23.9","14.6","7.2","8.5","11.1","9.4","79388","31178","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2491","518","9.9","5.5","5.1","4.8","5.5","4.3","4.6","3.3","13.4","13.7","30.1","10.5","13.2","7.9","11.6","7.4","2.9","2.6","3.7","2.9","68670","11033","68851","9572","(X)","(X)","(X)","(X)","32.5","(X)",
"860Z200US75227","ZCTA5 75227","18490","1044","6.1","1.5","3.0","1.2","6.5","1.7","8.1","2.2","14.7","2.7","20.6","3.2","14.5","2.4","15.6","2.8","7.3","1.9","3.5","1.2","64008","5161","76715","4307","71.1","(X)","(X)","(X)","(X)","(X)","13539","879","4.3","1.9","1.8","1.3","3.2","1.4","8.1","2.3","13.8","2.9","22.7","3.8","15.3","2.8","18.1","3.4","8.5","2.4","4.2","1.6","70644","4554","84687","5144","(X)","(X)","73.5","(X)","(X)","(X)","7448","688","1.7","1.1","1.7","2.1","1.8","1.1","5.5","2.3","9.2","3.7","21.7","6.1","19.6","4.2","20.6","4.5","10.9","3.6","7.1","2.8","86016","6676","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4951","777","15.5","5.3","6.5","2.9","15.2","5.0","11.0","6.1","14.6","5.5","17.6","5.0","11.6","4.3","5.8","2.4","1.9","1.3","0.5","0.6","36069","5359","46127","4459","(X)","(X)","(X)","(X)","61.9","(X)",
